Year,AC_Name,PC_Name,Party,Votes,Position
2021,FALAKATA,Alipurduars,BJP,102993.0,Winner
2021,FALAKATA,Alipurduars,AITC,99003.0,Runner-Up
2021,FALAKATA,Alipurduars,Others,18504.0,Others
2024,Falakata,Alipurduars,BJP,105972.0,Winner
2024,Falakata,Alipurduars,AITC,97006.0,Runner-Up
2024,Falakata,Alipurduars,Others,12578.0,Others
2009,Madarihat,Alipurduars,BJP,39149.0,Winner
2009,Madarihat,Alipurduars,RSP,38620.0,Runner-Up
2009,Madarihat,Alipurduars,Others,26145.0,Others
2011,MADARIHAT,Alipurduars,RSP,42539.0,Winner
2011,MADARIHAT,Alipurduars,BJP,34630.0,Runner-Up
2011,MADARIHAT,Alipurduars,Others,56044.0,Others
2014,Madarihat,Alipurduars,BJP,58413.0,Winner
2014,Madarihat,Alipurduars,RSP,34445.0,Runner-Up
2014,Madarihat,Alipurduars,Others,53422.0,Others
2016,MADARIHAT,Alipurduars,BJP,66989.0,Winner
2016,MADARIHAT,Alipurduars,AITC,44951.0,Runner-Up
2016,MADARIHAT,Alipurduars,Others,40361.0,Others
2019,Madarihat,Alipurduars,BJP,93488.0,Winner
2019,Madarihat,Alipurduars,AITC,49650.0,Runner-Up
2019,Madarihat,Alipurduars,Others,15614.0,Others
2021,MADARIHAT,Alipurduars,BJP,90718.0,Winner
2021,MADARIHAT,Alipurduars,AITC,61033.0,Runner-Up
2021,MADARIHAT,Alipurduars,Others,15169.0,Others
2024,Madarihat,Alipurduars,BJP,79921.0,Winner
2024,Madarihat,Alipurduars,AITC,68858.0,Runner-Up
2024,Madarihat,Alipurduars,Others,10599.0,Others
2009,Dhupguri,Jalpaiguri,CPM,70356.0,Winner
2009,Dhupguri,Jalpaiguri,INC,49545.0,Runner-Up
2009,Dhupguri,Jalpaiguri,Others,33859.0,Others
2011,DHUPGURI,Jalpaiguri,CPM,73644.0,Winner
2011,DHUPGURI,Jalpaiguri,AITC,69406.0,Runner-Up
2011,DHUPGURI,Jalpaiguri,Others,31235.0,Others
2014,Dhupguri,Jalpaiguri,AITC,77697.0,Winner
2014,Dhupguri,Jalpaiguri,CPM,65341.0,Runner-Up
2014,Dhupguri,Jalpaiguri,Others,50289.0,Others
2016,DHUPGURI,Jalpaiguri,AITC,90781.0,Winner
2016,DHUPGURI,Jalpaiguri,CPM,71517.0,Runner-Up
2016,DHUPGURI,Jalpaiguri,Others,46436.0,Others
2019,Dhupguri,Jalpaiguri,BJP,105729.0,Winner
2019,Dhupguri,Jalpaiguri,AITC,87963.0,Runner-Up
2019,Dhupguri,Jalpaiguri,Others,24284.0,Others
2021,DHUPGURI,Jalpaiguri,BJP,104688.0,Winner
2021,DHUPGURI,Jalpaiguri,AITC,100333.0,Runner-Up
2021,DHUPGURI,Jalpaiguri,Others,24302.0,Others
2024,Dhupguri,Jalpaiguri,BJP,106651.0,Winner
2024,Dhupguri,Jalpaiguri,AITC,100322.0,Runner-Up
2024,Dhupguri,Jalpaiguri,Others,14828.0,Others
2009,Maynaguri,Jalpaiguri,CPM,74212.0,Winner
2009,Maynaguri,Jalpaiguri,INC,53664.0,Runner-Up
2009,Maynaguri,Jalpaiguri,Others,27430.0,Others
2011,MAYNAGURI,Jalpaiguri,RSP,84887.0,Winner
2011,MAYNAGURI,Jalpaiguri,AITC,68611.0,Runner-Up
2011,MAYNAGURI,Jalpaiguri,Others,20778.0,Others
2014,Maynaguri,Jalpaiguri,AITC,87523.0,Winner
2014,Maynaguri,Jalpaiguri,CPM,59356.0,Runner-Up
2014,Maynaguri,Jalpaiguri,Others,47682.0,Others
2016,MAYNAGURI,Jalpaiguri,AITC,100837.0,Winner
2016,MAYNAGURI,Jalpaiguri,RSP,65930.0,Runner-Up
2016,MAYNAGURI,Jalpaiguri,Others,43961.0,Others
2019,Maynaguri,Jalpaiguri,BJP,110819.0,Winner
2019,Maynaguri,Jalpaiguri,AITC,96072.0,Runner-Up
2019,Maynaguri,Jalpaiguri,Others,16619.0,Others
2021,MAYNAGURI,Jalpaiguri,BJP,115306.0,Winner
2021,MAYNAGURI,Jalpaiguri,AITC,103395.0,Runner-Up
2021,MAYNAGURI,Jalpaiguri,Others,17392.0,Others
2024,Maynaguri,Jalpaiguri,BJP,112763.0,Winner
2024,Maynaguri,Jalpaiguri,AITC,108018.0,Runner-Up
2024,Maynaguri,Jalpaiguri,Others,12343.0,Others
2009,Jalpaiguri,Jalpaiguri,INC,74114.0,Winner
2009,Jalpaiguri,Jalpaiguri,CPM,70282.0,Runner-Up
2009,Jalpaiguri,Jalpaiguri,Others,16731.0,Others
2011,JALPAIGURI,Jalpaiguri,INC,86273.0,Winner
2011,JALPAIGURI,Jalpaiguri,AIFB,75222.0,Runner-Up
2011,JALPAIGURI,Jalpaiguri,Others,15868.0,Others
2014,Jalpaiguri,Jalpaiguri,CPM,69505.0,Winner
2014,Jalpaiguri,Jalpaiguri,AITC,65344.0,Runner-Up
2014,Jalpaiguri,Jalpaiguri,Others,57364.0,Others
2016,JALPAIGURI,Jalpaiguri,INC,94553.0,Winner
2016,JALPAIGURI,Jalpaiguri,AITC,89396.0,Runner-Up
2016,JALPAIGURI,Jalpaiguri,Others,24267.0,Others
2019,Jalpaiguri,Jalpaiguri,BJP,112147.0,Winner
2019,Jalpaiguri,Jalpaiguri,AITC,72962.0,Runner-Up
2019,Jalpaiguri,Jalpaiguri,Others,32113.0,Others
2021,JALPAIGURI,Jalpaiguri,AITC,95668.0,Winner
2021,JALPAIGURI,Jalpaiguri,BJP,94727.0,Runner-Up
2021,JALPAIGURI,Jalpaiguri,Others,35538.0,Others
2024,Jalpaiguri,Jalpaiguri,BJP,110008.0,Winner
2024,Jalpaiguri,Jalpaiguri,AITC,84474.0,Runner-Up
2024,Jalpaiguri,Jalpaiguri,Others,25477.0,Others
2009,Rajganj,Jalpaiguri,CPM,62337.0,Winner
2009,Rajganj,Jalpaiguri,INC,57490.0,Runner-Up
2009,Rajganj,Jalpaiguri,Others,22946.0,Others
2011,RAJGANJ,Jalpaiguri,AITC,74546.0,Winner
2011,RAJGANJ,Jalpaiguri,CPM,67526.0,Runner-Up
2011,RAJGANJ,Jalpaiguri,Others,17766.0,Others
2014,Rajganj,Jalpaiguri,AITC,71715.0,Winner
2014,Rajganj,Jalpaiguri,CPM,62498.0,Runner-Up
2014,Rajganj,Jalpaiguri,Others,44736.0,Others
2016,RAJGANJ,Jalpaiguri,AITC,89785.0,Winner
2016,RAJGANJ,Jalpaiguri,CPM,75108.0,Runner-Up
2016,RAJGANJ,Jalpaiguri,Others,29638.0,Others
2019,Rajganj,Jalpaiguri,AITC,94727.0,Winner
2019,Rajganj,Jalpaiguri,BJP,90407.0,Runner-Up
2019,Rajganj,Jalpaiguri,Others,22275.0,Others
2021,RAJGANJ,Jalpaiguri,AITC,104641.0,Winner
2021,RAJGANJ,Jalpaiguri,BJP,88868.0,Runner-Up
2021,RAJGANJ,Jalpaiguri,Others,22246.0,Others
2024,Rajganj,Jalpaiguri,AITC,104594.0,Winner
2024,Rajganj,Jalpaiguri,BJP,97114.0,Runner-Up
2024,Rajganj,Jalpaiguri,Others,17560.0,Others
2009,Dabgram-phulbari,Jalpaiguri,CPM,71665.0,Winner
2009,Dabgram-phulbari,Jalpaiguri,INC,47211.0,Runner-Up
2009,Dabgram-phulbari,Jalpaiguri,Others,33944.0,Others
2011,DABGRAM-PHULBARI,Jalpaiguri,AITC,84649.0,Winner
2011,DABGRAM-PHULBARI,Jalpaiguri,CPM,73413.0,Runner-Up
2011,DABGRAM-PHULBARI,Jalpaiguri,Others,17234.0,Others
2014,Dabgram-Fulbari,Jalpaiguri,AITC,69700.0,Winner
2014,Dabgram-Fulbari,Jalpaiguri,BJP,64990.0,Runner-Up
2014,Dabgram-Fulbari,Jalpaiguri,Others,68664.0,Others
2016,DABGRAM-PHULBARI,Jalpaiguri,AITC,105769.0,Winner
2016,DABGRAM-PHULBARI,Jalpaiguri,CPM,81958.0,Runner-Up
2016,DABGRAM-PHULBARI,Jalpaiguri,Others,34998.0,Others
2019,Dabgram-Fulbari,Jalpaiguri,BJP,150566.0,Winner
2019,Dabgram-Fulbari,Jalpaiguri,AITC,64449.0,Runner-Up
2019,Dabgram-Fulbari,Jalpaiguri,Others,24639.0,Others
2021,DABGRAM-PHULBARI,Jalpaiguri,BJP,129088.0,Winner
2021,DABGRAM-PHULBARI,Jalpaiguri,AITC,101495.0,Runner-Up
2021,DABGRAM-PHULBARI,Jalpaiguri,Others,28386.0,Others
2024,Dabgram-Fulbari,Jalpaiguri,BJP,156023.0,Winner
2024,Dabgram-Fulbari,Jalpaiguri,AITC,83778.0,Runner-Up
2024,Dabgram-Fulbari,Jalpaiguri,Others,16572.0,Others
2009,Mal,Jalpaiguri,CPM,54764.0,Winner
2009,Mal,Jalpaiguri,INC,45171.0,Runner-Up
2009,Mal,Jalpaiguri,Others,30184.0,Others
2011,MAL,Jalpaiguri,CPM,62037.0,Winner
2011,MAL,Jalpaiguri,INC,57821.0,Runner-Up
2011,MAL,Jalpaiguri,Others,36462.0,Others
2014,Mal,Jalpaiguri,AITC,61037.0,Winner
2014,Mal,Jalpaiguri,CPM,52751.0,Runner-Up
2014,Mal,Jalpaiguri,Others,61379.0,Others
2016,MAL,Jalpaiguri,AITC,84877.0,Winner
2016,MAL,Jalpaiguri,CPM,66415.0,Runner-Up
2016,MAL,Jalpaiguri,Others,40374.0,Others
2019,Mal,Jalpaiguri,BJP,100998.0,Winner
2019,Mal,Jalpaiguri,AITC,76939.0,Runner-Up
2019,Mal,Jalpaiguri,Others,24960.0,Others
2021,MAL,Jalpaiguri,AITC,99086.0,Winner
2021,MAL,Jalpaiguri,BJP,93621.0,Runner-Up
2021,MAL,Jalpaiguri,Others,20548.0,Others
2024,Mal,Jalpaiguri,AITC,101468.0,Winner
2024,Mal,Jalpaiguri,BJP,88653.0,Runner-Up
2024,Mal,Jalpaiguri,Others,16248.0,Others
2009,Nagrakata,Alipurduars,RSP,38917.0,Winner
